ArriveTime,LogicalID,EndDeviceSID,RouterSID,LQI,SequenceNumber,Sensor,PALID,PALVersion,Power,ADC1,HALLIC
	2020/08/20 09:12:33.547,8,	2014E07,	No Relay,132,1052,	PAL,1,1,2305,798,Close(S)
	2020/08/20 09:12:34.535,8,	2014E07,	No Relay,126,1053,	PAL,1,1,2305,1389,Open
	2020/08/20 09:12:34.546,8,	2014E07,	No Relay,138,1054,	PAL,1,1,2305,1377,Close(S)
	2020/08/20 09:12:34.557,8,	2014E07,	No Relay,144,1055,	PAL,1,1,2305,1261,Open
	2020/08/20 09:12:35.058,8,	2014E07,	No Relay,141,1056,	PAL,1,1,2305,1319,Close(S)
	2020/08/20 09:12:35.271,8,	2014E07,	No Relay,141,1057,	PAL,1,1,2310,1116,Open
